referenceNumber,engine,commandId,title,description,sourceDocument,implementation
293,أتمتة العمليات المجمعة,academic-insert-apa,إدراج مرجع APA,إدراج قالب مرجع وفق أسلوب APA.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
294,أتمتة العمليات المجمعة,academic-insert-mla,إدراج مرجع MLA,إدراج قالب مرجع وفق أسلوب MLA.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
295,أتمتة العمليات المجمعة,accept-revisions,قبول كل التعديلات,قبول جميع التغييرات المتعقبة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
296,أتمتة العمليات المجمعة,activate,تفعيل البرنامج,إدخال Serial Number وتفعيل النسخة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
297,أتمتة العمليات المجمعة,align-center,توسيط,توسيط الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
298,أتمتة العمليات المجمعة,align-justify,ضبط كامل,ضبط الفقرات من الطرفين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
299,أتمتة العمليات المجمعة,align-left,محاذاة يسار,محاذاة الفقرات إلى اليسار.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
300,أتمتة العمليات المجمعة,align-right,محاذاة يمين,محاذاة الفقرات إلى اليمين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
301,البحث العلمي والمراجع,reference-case,مرجع حالة,إنشاء رقم مرجعي فريد يبدأ بـ CASE.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
302,البحث العلمي والمراجع,reference-doc,مرجع مستند,إنشاء رقم مرجعي فريد يبدأ بـ DOC.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
303,البحث العلمي والمراجع,reference-memo,مرجع مذكرة,إنشاء رقم مرجعي فريد يبدأ بـ MEMO.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
304,البحث العلمي والمراجع,reference-rpt,مرجع تقرير,إنشاء رقم مرجعي فريد يبدأ بـ RPT.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
305,البحث العلمي والمراجع,time-reference,وقت مرجعي,إدراج الوقت الحالي بصيغة HHmmss.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
306,البحث العلمي والمراجع,date-arabic-full,تاريخ عربي كامل,إدراج التاريخ الحالي بالصيغة dddd، d MMMM yyyy.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
307,البحث العلمي والمراجع,date-arabic-long,تاريخ عربي طويل,إدراج التاريخ الحالي بالصيغة d MMMM yyyy.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
308,البحث العلمي والمراجع,date-compact,تاريخ مضغوط,إدراج التاريخ الحالي بالصيغة yyyyMMdd.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
309,البحث العلمي والمراجع,date-day-month-year,يوم/شهر/سنة,إدراج التاريخ الحالي بالصيغة dd/MM/yyyy.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
310,البحث العلمي والمراجع,date-english-short,تاريخ إنجليزي مختصر,إدراج التاريخ الحالي بالصيغة dd-MMM-yyyy.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
311,البحث العلمي والمراجع,date-iso,تاريخ ISO,إدراج التاريخ الحالي بالصيغة yyyy-MM-dd.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
312,البحث العلمي والمراجع,date-month-year,الشهر والسنة,إدراج التاريخ الحالي بالصيغة MMMM yyyy.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
313,البحث العلمي والمراجع,date-simple,تاريخ بسيط,إدراج التاريخ الحالي بالصيغة d/M/yyyy.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
314,البحث العلمي والمراجع,date-slash-iso,تاريخ بشرطات مائلة,إدراج التاريخ الحالي بالصيغة yyyy/MM/dd.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
315,البحث العلمي والمراجع,date-us,تاريخ أمريكي,إدراج التاريخ الحالي بالصيغة MM/dd/yyyy.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
316,البحث العلمي والمراجع,time-12-seconds,وقت 12 مع الثواني,إدراج الوقت الحالي بصيغة hh:mm:ss tt.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
317,البحث العلمي والمراجع,time-12-short,وقت 12 ساعة,إدراج الوقت الحالي بصيغة hh:mm tt.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
318,البحث العلمي والمراجع,time-24-seconds,وقت 24 مع الثواني,إدراج الوقت الحالي بصيغة HH:mm:ss.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
319,البحث العلمي والمراجع,time-24-short,وقت 24 ساعة,إدراج الوقت الحالي بصيغة HH:mm.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
320,البحث العلمي والمراجع,time-compact,وقت مضغوط,إدراج الوقت الحالي بصيغة HHmm.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
321,البحث العلمي والمراجع,format-academic,تنسيق أكاديمي,ضبط الصفحة والخطوط والتباعد لبحث أكاديمي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
322,البحث العلمي والمراجع,catalog-600-center,موسوعة 600 أداة,عرض الأدوات وفق المحركات الخمسة عشر في الدليل المرجعي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
323,البحث العلمي والمراجع,command-center,مركز الأدوات الاحترافي,بحث وفئات ومفضلة وآخر استخدام لكل الأدوات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
324,البحث العلمي والمراجع,find-replace-prompt,بحث واستبدال سريع,بحث واستبدال داخل التحديد أو المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
325,البحث العلمي والمراجع,insert-toc,إضافة فهرس محتويات,إدراج فهرس من العناوين 1 إلى 3.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
326,البحث العلمي والمراجع,margins-academic-pro,هوامش أكاديمية,تطبيق تخطيط هوامش احترافي جاهز.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
327,البحث العلمي والمراجع,remove-bookmarks,حذف الإشارات المرجعية,حذف جميع Bookmarks.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
328,البحث العلمي والمراجع,security-remove-hidden-text,حذف النص المخفي,البحث عن النص المخفي وحذفه من المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
329,البحث العلمي والمراجع,template-tor,شروط مرجعية ToR,إدراج هيكل شروط مرجعية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
330,البحث العلمي والمراجع,border-box,إطار حول النص,إضافة حدود حول الفقرات المحددة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
331,البحث العلمي والمراجع,border-clear,إزالة الحدود,إزالة حدود الفقرات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
332,البحث العلمي والمراجع,clean-properties,تنظيف الخصائص المخصصة,حذف البيانات الشخصية والخصائص المخصصة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
333,البحث العلمي والمراجع,clear-formatting,إزالة التنسيق المباشر,إرجاع النص إلى تنسيق النمط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
334,البحث العلمي والمراجع,clipboard-append-collection,إضافة إلى الحافظة المجمعة,إضافة التحديد إلى ملف تجميع نصوص قابل للإدراج لاحقًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
335,البحث العلمي والمراجع,clipboard-clear-snippets,مسح مكتبة المقتطفات,حذف المقتطفات المحلية المحفوظة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
336,البحث العلمي والمراجع,clipboard-insert-snippet,إدراج مقتطف,اختيار مقتطف محفوظ وإدراجه عند المؤشر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
337,البحث العلمي والمراجع,clipboard-save-snippet,حفظ مقتطف,حفظ النص المحدد في مكتبة المقتطفات المحلية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
338,البحث العلمي والمراجع,columns-1-pro,أعمدة الصفحة: 1,تقسيم نص الصفحة إلى 1 أعمدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
339,البحث العلمي والمراجع,columns-2-pro,أعمدة الصفحة: 2,تقسيم نص الصفحة إلى 2 أعمدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
340,البحث العلمي والمراجع,columns-3-pro,أعمدة الصفحة: 3,تقسيم نص الصفحة إلى 3 أعمدة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
341,الأمان والتشفير والطمس,security-document-audit,تدقيق أمان المستند,عرض الروابط والتعليقات والتعديلات والبيانات الحساسة المحتملة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
342,الأمان والتشفير والطمس,security-redact-emails,طمس البريد الإلكتروني,استبدال عناوين البريد في النطاق بعلامات طمس.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
343,الأمان والتشفير والطمس,security-redact-identifiers,طمس المعرّفات الرقمية,طمس الأرقام الطويلة التي قد تمثل هويات أو حسابات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
344,الأمان والتشفير والطمس,security-redact-phones,طمس أرقام الهواتف,استبدال أرقام الهواتف المحتملة بعلامات طمس.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
345,الأمان والتشفير والطمس,security-redact-selection,طمس التحديد,استبدال النص المحدد بكتل سوداء مساوية للطول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
346,الأمان والتشفير والطمس,protect-forms,حماية تعبئة النماذج,السماح بتعبئة النماذج فقط.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
347,الأمان والتشفير والطمس,protect-readonly,حماية للقراءة فقط,حماية المستند بكلمة مرور ضد التحرير.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
348,الأمان والتشفير والطمس,remove-external-links,فصل الروابط الخارجية,فصل روابط البيانات الخارجية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
349,الأمان والتشفير والطمس,remove-metadata,إزالة البيانات الشخصية,حذف معلومات المستند الشخصية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
350,الأمان والتشفير والطمس,unprotect,إلغاء الحماية,إلغاء حماية المستند بكلمة المرور.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
351,الأمان والتشفير والطمس,workflow-final-share,تنظيف شامل قبل المشاركة,نسخة احتياطية وتنظيف مراجعة وخصوصية ونص مخفي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
352,الأمان والتشفير والطمس,comments-report-pro,تقرير التعليقات,إنشاء مستند مستقل يحتوي جميع التعليقات وسياقها.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
353,الأمان والتشفير والطمس,reject-revisions,رفض كل التعديلات,رفض جميع التغييرات المتعقبة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
354,الأمان والتشفير والطمس,remove-comments,حذف التعليقات,حذف جميع التعليقات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
355,الأمان والتشفير والطمس,remove-endnotes,حذف الحواشي الختامية,حذف جميع Endnotes من المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
356,الأمان والتشفير والطمس,remove-footnotes,حذف الحواشي السفلية,حذف جميع Footnotes من المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
357,الأمان والتشفير والطمس,revisions-summary-pro,ملخص التعديلات,إنشاء ملخص عددي للتعديلات المتعقبة حسب النوع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
358,الأمان والتشفير والطمس,track-off,إيقاف تعقب التغييرات,إيقاف Track Changes.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
359,الأمان والتشفير والطمس,track-on,تشغيل تعقب التغييرات,تشغيل Track Changes.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
360,الأمان والتشفير والطمس,unlink-selection-fields,فصل حقول التحديد,تحويل الحقول الموجودة في التحديد إلى نص ثابت.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
361,الأمان والتشفير والطمس,workflow-final-delivery,تجهيز نسخة نهائية,نسخة احتياطية ثم قبول التعديلات وحذف التعليقات وتحديث الحقول.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
362,الأمان والتشفير والطمس,form-export-controls-csv,تصدير بيانات النموذج CSV,تصدير عناوين وقيم Content Controls إلى CSV.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
363,الأمان والتشفير والطمس,legal-party-table,جدول أطراف العقد,إدراج جدول منظم لبيانات الأطراف والممثلين.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
364,الأمان والتشفير والطمس,remove-hidden-text,حذف النص المخفي,حذف كل النصوص ذات خاصية Hidden.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
365,الأمان والتشفير والطمس,comma-list-bullets,قائمة مفصولة إلى نقاط,تحويل العناصر المفصولة بفواصل إلى قائمة نقطية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
366,الأمان والتشفير والطمس,export-filtered-html,تصدير HTML منقّى,حفظ المستند بصيغة Filtered HTML.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
367,الأمان والتشفير والطمس,export-odt,تصدير OpenDocument,حفظ نسخة بصيغة ODT.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
368,الأمان والتشفير والطمس,export-pdf-page-range,تصدير نطاق صفحات PDF,اختيار أول وآخر صفحة وتصديرهما إلى PDF.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
369,الأمان والتشفير والطمس,export-rtf,تصدير RTF,حفظ نسخة من المستند بصيغة Rich Text Format.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
370,الأمان والتشفير والطمس,extract-hashtags,استخراج الوسوم,استخراج Hashtags إلى مستند جديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
371,الأمان والتشفير والطمس,extract-mentions,استخراج الإشارات,استخراج @mentions إلى مستند جديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
372,الأمان والتشفير والطمس,extract-numbers,استخراج الأرقام,إنشاء مستند جديد بالأرقام الموجودة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
373,الأمان والتشفير والطمس,filter-keep-alphanumeric-pro,الاحتفاظ بالحروف والأرقام,تطبيق مرشح نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
374,الأمان والتشفير والطمس,filter-keep-digits-pro,الاحتفاظ بالأرقام فقط,تطبيق مرشح نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
375,الأمان والتشفير والطمس,filter-keep-letters-pro,الاحتفاظ بالحروف فقط,تطبيق مرشح نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
376,الطباعة والتصدير المتقدم,print-booklet-layout,إعداد طباعة كتيب,تطبيق إعداد Book Fold على المقطع الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
377,الطباعة والتصدير المتقدم,margins-0-75cm,هوامش 0.75 سم,تطبيق هوامش موحدة بقيمة 0.75 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
378,الطباعة والتصدير المتقدم,margins-1-5cm,هوامش 1.5 سم,تطبيق هوامش موحدة بقيمة 1.5 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
379,الطباعة والتصدير المتقدم,margins-1cm,هوامش 1 سم,تطبيق هوامش موحدة بقيمة 1 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
380,الطباعة والتصدير المتقدم,margins-2-5cm,هوامش 2.5 سم,تطبيق هوامش موحدة بقيمة 2.5 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
381,الطباعة والتصدير المتقدم,margins-2cm,هوامش 2 سم,تطبيق هوامش موحدة بقيمة 2 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
382,الطباعة والتصدير المتقدم,margins-3cm,هوامش 3 سم,تطبيق هوامش موحدة بقيمة 3 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
383,الطباعة والتصدير المتقدم,margins-binding-pro,هوامش تجليد,تطبيق تخطيط هوامش احترافي جاهز.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
384,الطباعة والتصدير المتقدم,margins-official-pro,هوامش خطاب رسمي,تطبيق تخطيط هوامش احترافي جاهز.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
385,الطباعة والتصدير المتقدم,orientation-landscape-pro,اتجاه أفقي احترافي,تعيين اتجاه الصفحة أفقيًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
386,الطباعة والتصدير المتقدم,paper-a3-pro,حجم ورق A3,تعيين حجم الورق إلى A3.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
387,الطباعة والتصدير المتقدم,paper-a4-pro,حجم ورق A4,تعيين حجم الورق إلى A4.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
388,الطباعة والتصدير المتقدم,paper-a5-pro,حجم ورق A5,تعيين حجم الورق إلى A5.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
389,الطباعة والتصدير المتقدم,paper-legal-pro,حجم ورق Legal,تعيين حجم الورق إلى Legal.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
390,الطباعة والتصدير المتقدم,paper-letter-pro,حجم ورق Letter,تعيين حجم الورق إلى Letter.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
391,الطباعة والتصدير المتقدم,footer-text,نص تذييل الصفحة,كتابة تذييل موحد في جميع المقاطع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
392,الطباعة والتصدير المتقدم,format-official-letter,خطاب رسمي,ضبط الصفحة والخط والفقرات لخطاب عربي رسمي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
393,الطباعة والتصدير المتقدم,header-text,نص رأس الصفحة,كتابة رأس موحد في جميع المقاطع.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
394,الطباعة والتصدير المتقدم,insert-page-break,فاصل صفحة,إدراج فاصل صفحة يدوي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
395,الطباعة والتصدير المتقدم,insert-section-next,مقطع صفحة جديدة,إدراج Section Break Next Page.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
396,الطباعة والتصدير المتقدم,keep-lines-together,إبقاء أسطر الفقرة معًا,منع تقسيم أسطر الفقرة بين الصفحات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
397,الطباعة والتصدير المتقدم,keep-with-next,إبقاء مع التالي,منع فصل العنوان عن الفقرة التالية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
398,الطباعة والتصدير المتقدم,margins-narrow,هوامش ضيقة,ضبط الهوامش إلى 1.27 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
399,الطباعة والتصدير المتقدم,margins-normal,هوامش عادية,ضبط الهوامش إلى 2.54 سم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
400,الطباعة والتصدير المتقدم,page-a3,حجم A3,ضبط الورق على A3.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
401,الطباعة والتصدير المتقدم,page-a4,حجم A4,ضبط الورق على A4.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
402,الطباعة والتصدير المتقدم,page-break-before,بدء الفقرة في صفحة جديدة,تطبيق Page break before.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
403,الطباعة والتصدير المتقدم,page-landscape,اتجاه أفقي,جعل الصفحة أفقية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
404,الطباعة والتصدير المتقدم,page-letter,حجم Letter,ضبط الورق على Letter.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
405,الطباعة والتصدير المتقدم,page-numbers-add,إضافة أرقام الصفحات,إضافة الترقيم إلى التذييل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
406,الطباعة والتصدير المتقدم,page-numbers-remove,حذف أرقام الصفحات,حذف حقول PAGE من التذييلات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
407,الطباعة والتصدير المتقدم,page-portrait,اتجاه عمودي,جعل الصفحة عمودية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
408,الطباعة والتصدير المتقدم,filter-remove-arabic-pro,حذف الأحرف العربية,تطبيق مرشح نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
409,الطباعة والتصدير المتقدم,filter-remove-brackets-pro,حذف جميع الأقواس,تطبيق مرشح نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
410,الطباعة والتصدير المتقدم,filter-remove-digits-pro,حذف الأرقام,تطبيق مرشح نص احترافي على التحديد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
411,الحافظة والأتمتة والاختصارات,prefix-arrow-pro,أسهم تنفيذ,إضافة الرمز ➜ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
412,الحافظة والأتمتة والاختصارات,prefix-bullet-pro,نقاط,إضافة الرمز • في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
413,الحافظة والأتمتة والاختصارات,prefix-calendar-pro,قائمة مواعيد,إضافة الرمز 📅 في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
414,الحافظة والأتمتة والاختصارات,prefix-check-done-pro,قائمة منجزة,إضافة الرمز ☑ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
415,الحافظة والأتمتة والاختصارات,prefix-check-empty-pro,قائمة تحقق فارغة,إضافة الرمز ☐ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
416,الحافظة والأتمتة والاختصارات,prefix-circle-pro,دوائر,إضافة الرمز ○ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
417,الحافظة والأتمتة والاختصارات,prefix-clock-pro,قائمة أوقات,إضافة الرمز ⏱ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
418,الحافظة والأتمتة والاختصارات,prefix-dash-pro,شرطة طويلة,إضافة الرمز — في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
419,الحافظة والأتمتة والاختصارات,prefix-email-pro,قائمة بريد,إضافة الرمز ✉ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
420,الحافظة والأتمتة والاختصارات,prefix-file-pro,قائمة ملفات,إضافة الرمز 📄 في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
421,الحافظة والأتمتة والاختصارات,prefix-flag-pro,قائمة أولويات,إضافة الرمز ⚑ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
422,الحافظة والأتمتة والاختصارات,prefix-info-pro,معلومات,إضافة الرمز ℹ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
423,الحافظة والأتمتة والاختصارات,prefix-link-pro,قائمة روابط,إضافة الرمز 🔗 في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
424,الحافظة والأتمتة والاختصارات,prefix-phone-pro,قائمة هواتف,إضافة الرمز ☎ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
425,الحافظة والأتمتة والاختصارات,prefix-pin-pro,ملاحظات مثبتة,إضافة الرمز 📌 في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
426,الحافظة والأتمتة والاختصارات,prefix-square-pro,مربعات,إضافة الرمز ▪ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
427,الحافظة والأتمتة والاختصارات,prefix-star-pro,نجوم,إضافة الرمز ★ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
428,الحافظة والأتمتة والاختصارات,prefix-user-pro,قائمة أشخاص,إضافة الرمز 👤 في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
429,الحافظة والأتمتة والاختصارات,prefix-warning-pro,تحذيرات,إضافة الرمز ⚠ في بداية كل فقرة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
430,الحافظة والأتمتة والاختصارات,form-date-control,حقل تاريخ تفاعلي,إدراج Date Picker عند المؤشر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
431,الحافظة والأتمتة والاختصارات,form-text-control,حقل نص تفاعلي,إدراج Content Control نصي عند المؤشر.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
432,الحافظة والأتمتة والاختصارات,form-checkbox-control,مربع اختيار تفاعلي,إدراج Checkbox Content Control.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
433,الحافظة والأتمتة والاختصارات,insert-action-log-v3,سجل الإجراءات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
434,الحافظة والأتمتة والاختصارات,insert-action-tracker-pro,متابعة الإجراءات,إدراج جدول متابعة إجراءات ومسؤوليات ومواعيد.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
435,الحافظة والأتمتة والاختصارات,insert-approval-table-pro,جدول الاعتماد,إدراج جدول إعداد ومراجعة واعتماد وتواريخ.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
436,الحافظة والأتمتة والاختصارات,insert-asset-register,سجل الأصول,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
437,الحافظة والأتمتة والاختصارات,insert-attendance-sheet-v3,كشف حضور عالمي,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
438,الحافظة والأتمتة والاختصارات,insert-audit-findings,نتائج التدقيق,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
439,الحافظة والأتمتة والاختصارات,insert-budget-table,جدول ميزانية,إدراج جدول ميزانية تفصيلي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
440,الحافظة والأتمتة والاختصارات,insert-budget-tracker,متابعة الميزانية,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
441,الحافظة والأتمتة والاختصارات,insert-change-request,طلبات التغيير,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
442,الحافظة والأتمتة والاختصارات,insert-communication-plan,خطة الاتصالات,إدراج جدول احترافي جاهز للاستخدام المؤسسي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
443,الحافظة والأتمتة والاختصارات,insert-contact-directory-pro,دليل جهات اتصال,إدراج دليل جهات اتصال منظم.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
