id,category,title,description,keywords
metric-revisions-pro,ذكاء المستند,عدد التعديلات,تحليل المستند وعرض عدد التعديلات.,analytics تحليل
metric-fields-pro,ذكاء المستند,عدد الحقول,تحليل المستند وعرض عدد الحقول.,analytics تحليل
metric-bookmarks-pro,ذكاء المستند,عدد الإشارات المرجعية,تحليل المستند وعرض عدد الإشارات المرجعية.,analytics تحليل
metric-headings-pro,ذكاء المستند,عدد العناوين,تحليل المستند وعرض عدد العناوين.,analytics تحليل
metric-sections-pro,ذكاء المستند,عدد المقاطع,تحليل المستند وعرض عدد المقاطع.,analytics تحليل
metric-footnotes-pro,ذكاء المستند,عدد الحواشي,تحليل المستند وعرض عدد الحواشي.,analytics تحليل
metric-readability-pro,ذكاء المستند,قابلية القراءة,تحليل المستند وعرض قابلية القراءة.,analytics تحليل
zoom-75-pro,مساحة العمل,تكبير 75%,تعيين مستوى تكبير المستند إلى 75%.,zoom تكبير
zoom-85-pro,مساحة العمل,تكبير 85%,تعيين مستوى تكبير المستند إلى 85%.,zoom تكبير
zoom-100-pro,مساحة العمل,تكبير 100%,تعيين مستوى تكبير المستند إلى 100%.,zoom تكبير
zoom-110-pro,مساحة العمل,تكبير 110%,تعيين مستوى تكبير المستند إلى 110%.,zoom تكبير
zoom-125-pro,مساحة العمل,تكبير 125%,تعيين مستوى تكبير المستند إلى 125%.,zoom تكبير
zoom-150-pro,مساحة العمل,تكبير 150%,تعيين مستوى تكبير المستند إلى 150%.,zoom تكبير
view-normal-pro,مساحة العمل,عرض المسودة,التبديل إلى عرض المسودة.,view عرض
view-outline-pro,مساحة العمل,عرض المخطط التفصيلي,التبديل إلى عرض المخطط التفصيلي.,view عرض
view-print-pro,مساحة العمل,عرض تخطيط الطباعة,التبديل إلى عرض تخطيط الطباعة.,view عرض
view-web-pro,مساحة العمل,عرض الويب,التبديل إلى عرض الويب.,view عرض
view-reading-pro,مساحة العمل,عرض القراءة,التبديل إلى عرض القراءة.,view عرض
formatting-marks-on,مساحة العمل,إظهار علامات التنسيق,إظهار الفواصل والمسافات وعلامات الفقرات.,show all علامات
formatting-marks-off,مساحة العمل,إخفاء علامات التنسيق,إخفاء علامات التنسيق غير المطبوعة.,hide علامات
rulers-on,مساحة العمل,إظهار المساطر,إظهار المسطرة الأفقية والعمودية.,ruler مسطرة
rulers-off,مساحة العمل,إخفاء المساطر,إخفاء المسطرة الأفقية والعمودية.,ruler مسطرة
command-center,النظام والترخيص,مركز الأدوات الاحترافي,بحث وفئات ومفضلة وآخر استخدام لكل الأدوات.,مركز
activate,النظام والترخيص,تفعيل البرنامج,إدخال Serial Number وتفعيل النسخة.,ترخيص
license-info,النظام والترخيص,حالة الترخيص,عرض حالة الترخيص ومعرّف الجهاز.,ترخيص
machine-id,النظام والترخيص,نسخ معرّف الجهاز,نسخ Machine ID لإرساله إلى مالك البرنامج.,ترخيص
health-check,النظام والترخيص,فحص الإضافة,عرض حالة الاتصال وإصدار Word والسجل.,فحص
about,النظام والترخيص,حول WordPro Suite,معلومات الإصدار والتقنية.,حول
